YearMonth,OutpatientNumbers,DischargeNumbers,BedOccupany,BedTurmoverFrequency,"AverageHospitalizayionDays
",CureImprovementRate,Mortality,DiagnosyicAccordanceRate,SuccessfulRescueRate
2018.02,4.2,302,76,0.85,25.7,94.31,2.69,97.94,89.4
2020.01,4.1,306,78.81,0.87,25.8,94.46,2.62,95,87.1
2019.02,4.21,321,79.66,0.81,26,94.77,2.78,97.01,81.97
2018.1,4.43,321,80,0.822,25.4,94,2.81,97.02,79.07
2018.04,4.18,377,82,0.88,26.89,93.86,2.73,98.1,86.23
2018.07,4.57,361,83,0.72,25,93,2.71,98.12,73.53
2018.05,4.32,378,83,0.71,27.63,93.18,2.72,98.34,87.34
2018.08,4.31,371,85,0.84,25,92,2.88,98.54,88.23
2019.08,4.5,400,86,0.89,26.03,94,2.81,98.25,88.12
2020.06,4.14,399,89,0.91,26,93,2.76,98.24,87.13
2018.03,4.38,385,90,0.86,26.54,94,2.89,98.48,76.79
2018.01,4.34,389,91,0.9,25.46,93.15,2.86,98.3,78.12
2019.05,4.16,507,100,1.01,24.3,94.41,2.8,97.91,79.43
2019.03,4.16,508,101,1.01,24.1,92,2.81,99.12,78.9
2020.02,3.94,477,101,1,24,91.78,2.81,99.23,87.34
2018.12,4.1,514,101,1.06,24,93.24,3.03,100,78.95
2019.01,4.11,510,102,1.03,23.7,93.68,3.02,99.77,80.54
2018.11,4.13,496,102,1.01,23.7,93.43,2.9,99.1,80.49
2018.06,4.13,520,102,1,23.9,90.63,2.91,99.03,89.12
2020.04,3.87,583,105,1.21,23.1,93.43,2.98,99.21,89.07
2019.1,3.94,515,107,1.04,23.5,94.88,2.99,99.36,73.91
2018.09,4.06,521,108,0.93,23.6,93.81,3.09,99.48,70.73
2020.07,4.04,574,109,1.18,23.1,93.74,2.89,99.24,93.02
2019.04,4.17,545,109,1.08,23.3,94.89,3.02,99.41,82.35
2020.08,3.93,515,110,1.01,22.5,93.82,3.09,99.34,88.37
2019.09,4.15,529,111,1.1,22.4,91.52,2.99,99.78,88.2
2019.06,4.43,540,112,1.09,23,93.47,2.83,99.8,78.9
2020.03,4.14,638,112,1.27,22.8,92,3.03,99.5,91.67
2020.05,4.08,552,112,1.21,22.53,90.36,3.06,99.6,87.14
2019.11,4.12,552,113,1.1,22.6,95,2.98,99.7,85
2019.07,4.32,552,114,1.08,23,95.15,2.98,99.12,79.91
2020.12,3.77,627,115,1.24,23.22,91.17,3.04,98.98,89.8
2020.1,3.62,554,118,1.12,22.5,94,3.03,99.3,87.77
2020.09,3.9,555,120,1.13,21,94.38,3.01,99.5,91.79
2020.11,3.75,586,120,1.2,22.5,94,3.05,99.7,93.89
2019.12,4.42,597,122,1.19,22.6,93.03,3.01,99.28,73.81
